Name,InSize,Type,Val,Repeat,Reduce
almost_search,1/20, Bytes/MB,0.988,10,0.0
almost_search_opt,1/20, Time/s,0.008,10,0.4666666666666666
almost_search_opt,1/20, Gates/1e6,0.015,10,0.5161290322580645
almost_search_opt,1/20, Bytes/MB,0.466,10,0.52834008097166
almost_search,1/30, Time/s,0.02,10,0.0
almost_search,1/30, Gates/1e6,0.042,10,0.0
almost_search,1/30, Bytes/MB,1.359,10,0.0
almost_search_opt,1/30, Time/s,0.012,10,0.4
almost_search_opt,1/30, Gates/1e6,0.022,10,0.4761904761904763
almost_search_opt,1/30, Bytes/MB,0.703,10,0.4827078734363503
almost_search,1/40, Time/s,0.032,10,0.0
almost_search,1/40, Gates/1e6,0.067,10,0.0
almost_search,1/40, Bytes/MB,2.159,10,0.0
almost_search_opt,1/40, Time/s,0.019,10,0.40625
almost_search_opt,1/40, Gates/1e6,0.039,10,0.41791044776119407
almost_search_opt,1/40, Bytes/MB,1.232,10,0.429365446966188
almost_search,1/50, Time/s,0.038,10,0.0
almost_search,1/50, Gates/1e6,0.082,10,0.0
almost_search,1/50, Bytes/MB,2.623,10,0.0
almost_search_opt,1/50, Time/s,0.024,10,0.3684210526315789
almost_search_opt,1/50, Gates/1e6,0.05,10,0.3902439024390244
almost_search_opt,1/50, Bytes/MB,1.599,10,0.3903926801372475
almost_search,1/60, Time/s,0.045,10,0.0
almost_search,1/60, Gates/1e6,0.096,10,0.0
almost_search,1/60, Bytes/MB,3.087,10,0.0
almost_search_opt,1/60, Time/s,0.028,10,0.37777777777777777
almost_search_opt,1/60, Gates/1e6,0.059,10,0.3854166666666667
almost_search_opt,1/60, Bytes/MB,1.88,10,0.3909944930353094
almost_search,1/70, Time/s,0.068,10,0.0
almost_search,1/70, Gates/1e6,0.126,10,0.0
almost_search,1/70, Bytes/MB,4.334,10,0.0
almost_search_opt,1/70, Time/s,0.035,10,0.4852941176470588
almost_search_opt,1/70, Gates/1e6,0.071,10,0.43650793650793657
almost_search_opt,1/70, Bytes/MB,2.269,10,0.47646515920627586
almost_search,1/80, Time/s,0.056,10,0.0
almost_search,1/80, Gates/1e6,0.118,10,0.0
almost_search,1/80, Bytes/MB,3.79,10,0.0
almost_search_opt,1/80, Time/s,0.037,10,0.33928571428571436
almost_search_opt,1/80, Gates/1e6,0.077,10,0.34745762711864403
almost_search_opt,1/80, Bytes/MB,2.45,10,0.3535620052770448
almost_search,1/90, Time/s,0.058,10,0.0
almost_search,1/90, Gates/1e6,0.124,10,0.0
almost_search,1/90, Bytes/MB,3.978,10,0.0
almost_search_opt,1/90, Time/s,0.037,10,0.36206896551724144
almost_search_opt,1/90, Gates/1e6,0.076,10,0.3870967741935484
almost_search_opt,1/90, Bytes/MB,2.438,10,0.38712921065862244
almost_search,1/100, Time/s,0.058,10,0.0
almost_search,1/100, Gates/1e6,0.126,10,0.0
almost_search,1/100, Bytes/MB,4.023,10,0.0
almost_search_opt,1/100, Time/s,0.031,10,0.4655172413793104
almost_search_opt,1/100, Gates/1e6,0.063,10,0.5
almost_search_opt,1/100, Bytes/MB,2.012,10,0.49987571464081526
naive_psi,10, Time/s,0.003,10,0.0
naive_psi,10, Gates/1e6,0.006,10,0.0
naive_psi,10, Bytes/MB,0.202,10,0.0
naive_psi_opt,10, Time/s,0.002,10,0.3333333333333333
naive_psi_opt,10, Gates/1e6,0.002,10,0.6666666666666666
naive_psi_opt,10, Bytes/MB,0.06,10,0.702970297029703
naive_psi,20, Time/s,0.012,10,0.0
naive_psi,20, Gates/1e6,0.025,10,0.0
naive_psi,20, Bytes/MB,0.806,10,0.0
naive_psi_opt,20, Time/s,0.009,10,0.25000000000000006
naive_psi_opt,20, Gates/1e6,0.006,10,0.7600000000000001
naive_psi_opt,20, Bytes/MB,0.206,10,0.7444168734491315
naive_psi,30, Time/s,0.027,10,0.0
naive_psi,30, Gates/1e6,0.057,10,0.0
naive_psi,30, Bytes/MB,1.814,10,0.0
naive_psi_opt,30, Time/s,0.02,10,0.25925925925925924
naive_psi_opt,30, Gates/1e6,0.013,10,0.7719298245614036
naive_psi_opt,30, Bytes/MB,0.429,10,0.7635060639470782
naive_psi,40, Time/s,0.045,10,0.0
naive_psi,40, Gates/1e6,0.101,10,0.0
naive_psi,40, Bytes/MB,3.226,10,0.0
naive_psi_opt,40, Time/s,0.034,10,0.24444444444444435
naive_psi_opt,40, Gates/1e6,0.029,10,0.712871287128713
naive_psi_opt,40, Bytes/MB,0.94,10,0.708617482951023
naive_psi,50, Time/s,0.069,10,0.0
naive_psi,50, Gates/1e6,0.157,10,0.0
naive_psi,50, Bytes/MB,5.04,10,0.0
naive_psi_opt,50, Time/s,0.052,10,0.246376811594203
naive_psi_opt,50, Gates/1e6,0.044,10,0.7197452229299364
naive_psi_opt,50, Bytes/MB,1.416,10,0.719047619047619
naive_psi,60, Time/s,0.098,10,0.0
naive_psi,60, Gates/1e6,0.227,10,0.0
naive_psi,60, Bytes/MB,7.258,10,0.0
naive_psi_opt,60, Time/s,0.073,10,0.2551020408163266
naive_psi_opt,60, Gates/1e6,0.06,10,0.73568281938326
naive_psi_opt,60, Bytes/MB,1.934,10,0.7335354092036374
naive_psi,70, Time/s,0.134,10,0.0
naive_psi,70, Gates/1e6,0.309,10,0.0
naive_psi,70, Bytes/MB,9.878,10,0.0
naive_psi_opt,70, Time/s,0.099,10,0.2611940298507463
naive_psi_opt,70, Gates/1e6,0.088,10,0.7152103559870551
naive_psi_opt,70, Bytes/MB,2.834,10,0.7130998177768779
naive_psi,80, Time/s,0.173,10,0.0
naive_psi,80, Gates/1e6,0.403,10,0.0
naive_psi,80, Bytes/MB,12.902,10,0.0
naive_psi_opt,80, Time/s,0.129,10,0.25433526011560686
naive_psi_opt,80, Gates/1e6,0.104,10,0.7419354838709677
naive_psi_opt,80, Bytes/MB,3.343,10,0.7408928848240582
naive_psi,90, Time/s,0.216,10,0.0
naive_psi,90, Gates/1e6,0.51,10,0.0
naive_psi,90, Bytes/MB,16.33,10,0.0
naive_psi_opt,90, Time/s,0.164,10,0.2407407407407407
naive_psi_opt,90, Gates/1e6,0.134,10,0.7372549019607842
naive_psi_opt,90, Bytes/MB,4.297,10,0.7368646662584201
naive_psi,100, Time/s,0.271,10,0.0
naive_psi,100, Gates/1e6,0.63,10,0.0
naive_psi,100, Bytes/MB,20.16,10,0.0
naive_psi_opt,100, Time/s,0.195,10,0.2804428044280443
naive_psi_opt,100, Gates/1e6,0.159,10,0.7476190476190476
naive_psi_opt,100, Bytes/MB,5.092,10,0.7474206349206349
